"Juris_ISO","Jurisdiction","ISO_code","gmw_area_2020_ha","gmw_area_2020_wdpa_ha","jurisdiction_area_ha","Shoreline_length_m","Mangrove_shoreline_length_m","mean_agb_Mg_ha","mean_abovegroundcarbon_MtCO2e_ha","mean_SOC_MgC_ha","mean_soilcarbon_MtCO2e_ha","protection_num_people","protection_property_USD_billion","ramsar_num_sites","total_abovegroundcarbon_storage_MtCO2e","total_belowgroundcarbon_storage_MtCO2e","total_carbon_storage_MtC02e","Country","WB_CODE","WB_REGION","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GDP_year","GDP_annualgrowth","GDP_dollarvalue","GDP_pc","GNIPC_21","WGI_control_corruption","WGI_rule_of_law","WGI_governance_effectiveness","fishing_pressure_median","mangrove_attractions","total_pop","fishing_pressure_median_medgap","fishing_pressure_median_mingap","fishing_pressure_median_maxgap","fisher_days_yr"
"Mayotte_Comores_MYT_COM","Mayotte_Comores","MYT_COM",675.3327342,621.9691764,54719.1392499606,256035.449,79087.539871,86.5614910888267,0.000158153993409115,343.659118652344,0.00138987431993042,1889.0749263544,0.013,1,0.106806568793626,0.938627624672977,1.0454341934666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico_MEX","Mexico","MEX",992132.0573,748402.3799,195171268.729661,27278099.53,10767965.3852612,20.8983995914459,3.81828606424412e-05,197.769393920898,0.000799846670610045,227575.180261003,7.415,61,37.8824400827844,793.553522836899,831.435962919683,"Mexico","MEX","Latin America & Caribbean","Mexico","MEX","Mexico","MEX",2022,3.06238019,2.74e+12,10045,19060,-1,-0.8,-0.31,618,318,127504125,618,618,618,6131376.114114
"Micronesia_FSM","Micronesia","FSM",8710.555361,0,298476.375385513,1443359.886,399701.52795363,188.988983154297,0.000345296297697882,238.365676879883,0.000964031841632386,283.281078742433,0.002,0,3.00772251704573,8.39725272630568,11.4049752433514,"Micronesia","FSM","East Asia & Pacific","Micronesia","FSM","Micronesia","FSM",2022,-0.619574793,440113591,3571,4030,0.56,0.52,0.12,139,2,114164,139,139,139,12107.67195179
"Mozambique_MOZ","Mozambique","MOZ",297868.0382,162670.9916,78624464.3132832,12104116.7,6442527.14451531,73.8825378417969,0.000134988645134239,201.025421142578,0.000813015151743774,241978.239535545,1.938,1,40.2088029054118,242.171228276793,282.380031182205,"Mozambique","MOZ","Sub-Saharan Africa","Mozambique","MOZ","Mozambique","MOZ",2022,4.148414532,48391661733,491,1320,-0.81,-1.04,-0.77,173,6,32969518,173,173,173,515311.706086
"Myanmar_MMR","Myanmar","MMR",531985.691,14812.05708,66779616.0677985,33320832.61,13954851.3968342,94.3677660624187,0.000172416612331152,232.66960144043,0.000940994975889589,57382.7837738613,0.142,2,91.7231706508668,500.595862476151,592.319033127018,"Myanmar","MMR","East Asia & Pacific","Myanmar","MMR","Myanmar","MMR",2022,3.002678341,2.64e+11,1209,4330,-1.03,-1.46,-1.41,1653,3,54179306,1653,1653,1653,8793723.47223
"New Caledonia_NCL","New Caledonia","NCL",33480.82103,17933.10248,2231154.53111018,4032859.757,1970000.96606264,92.1065444946289,0.000168285199893237,220.244873046875,0.000890745149858398,3197.38219054266,0.031,0,5.63432665962326,29.8228789457496,35.4572056053728,"New Caledonia","NCL","East Asia & Pacific","New Caledonia","NCL","France","FRA",2021,-2.1,1.07e+10,37159,NA,1.31,1.29,1.27,11,6,276780,11,11,11,3682.8903133
"New Zealand_NZL","New Zealand","NZL",29675.9225,2848.564335,26958501.6485482,6614653.483,1190051.44496087,118.643348693848,0.000216769826297322,253.158172607422,0.0010238577238031,5476.06538706136,0.325,1,6.4328445655378,30.3839224626072,36.816767028145,"New Zealand","NZL","East Asia & Pacific","New Zealand","NZL","New Zealand","NZL",2022,2.156979776,2.66e+11,48781,47140,2.2,1.82,1.35,44,25,5124100,44,44,44,13057.4059
"Nicaragua_NIC","Nicaragua","NIC",74345.8574,58668.07075,12799589.6326681,2553131.737,1364479.9373464,48.5268993377686,8.86620923633891e-05,307.315887451172,0.00124288993625427,9149.88935932489,0.025,3,6.59165927563415,92.4037179646553,98.9953772402894,"Nicaragua","NIC","Latin America & Caribbean","Nicaragua","NIC","Nicaragua","NIC",2022,3.751102566,47768887517,2045,5880,-1.24,-1.36,-0.85,307,19,6948392,307,307,307,228241.782218
"Nigeria_NGA","Nigeria","NGA",839251.4881,46081.06676,90796822.8083633,6312140.673,5298165.41764851,100.649291992188,0.000183893406434391,401.670867919922,0.00162449355796326,304582.476219177,0.207,1,154.332815001841,1363.35863592953,1517.69145093137,"Nigeria","NGA","Sub-Saharan Africa","Nigeria","NGA","Nigeria","NGA",2022,3.251681408,1.28e+12,2065,5220,-1.07,-0.86,-1,1569,1,218541212,1569,1569,1569,13167855.848289
"Oecusse_TLS","Oecusse","TLS",193.0258472,192.1864319,75177.4914264336,57145.61802,5930.988137,86.5614910888267,0.000158153993409115,269.698128336066,0.00109075092835469,1889.0749263544,0.013,0,0.0305278085658576,0.21054312202985,0.241070930595708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman_OMN","Oman","OMN",136.4665807,55.96004372,30817053.5393506,3127981.412,9900.438575,33.8883972167969,6.19165090926048e-05,201.302230834961,0.000814134664255066,380.503675587502,0.053,1,0.00844953428474824,0.111102173860231,0.11955170814498,"Oman","OMN","Middle East & North Africa","Oman","OMN","Oman","OMN",2022,4.311253509,1.91e+11,19509,35270,0.09,0.41,-0.12,NA,3,4576298,379,1,8418,517.208340853
"Pakistan_PAK","Pakistan","PAK",77745.46002,42597.38006,87204244.8697382,10174927.97,3183351.46174273,17.9102478027344,3.27232950509433e-05,165.570755004883,0.000669624427296449,135834.99719897,0.131,3,2.54408762710577,52.0602591407914,54.6043467678972,"Pakistan","PAK","South Asia","Pakistan","PAK","Pakistan","PAK",2022,6.188155474,1.52e+12,1505,5700,-0.79,-0.64,-0.4,3089,11,235824862,3089,3089,3089,2401557.2600178
